,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,Theme,German,Spanish,French
33,2024,fall,Mecha-ude (TV),Mecha-Ude: Mechanical Arms,https://cdn.myanimelist.net/images/anime/1079/145918.jpg,メカウデ,Mecha-Ude,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 00,"Pony Canyon,       Kansai Telecasting,       BS Asahi","None found, add some",TriF Studio,Original,"ActionAction,         Sci-FiSci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,"6.831 (scored by 1516315,163 users)
      


1
          indicates a weighted score.","#51702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3318,"50,057",135,,,,,,,
34,2024,fall,Hoshifuru Oukoku no Nina,Nina the Starry Bride,https://cdn.myanimelist.net/images/anime/1436/144553.jpg,星降る王国のニナ,Nina the Starry Bride,TV,12,Finished Airing,"Oct 10, 2024 to Dec 26, 2024",Fall 2024,Thursdays at 22,"Kodansha,       flying DOG,       Nikkatsu,       Crunchyroll,       DMM.com,       Kadokawa Media House,       arma bianca,       Bit grooove promotion,       BS Asahi","None found, add some",Signal.MD,Manga,,JoseiJosei,23 min. per ep.,PG-13 - Teens 13 or older,"7.351 (scored by 1672116,721 users)
      


1
          indicates a weighted score.","#25772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3366,"48,271",279,Nina of the Starry Kingdom,,RomanceRomance,,,,
35,2024,fall,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,Rurouni Kenshin: Kyoto Disturbance,https://cdn.myanimelist.net/images/anime/1314/145530.jpg,るろうに剣心 -明治剣客浪漫譚- 京都動乱,Rurouni Kenshin,TV,23,Currently Airing,"Oct 4, 2024 to Mar 21, 2025",Fall 2024,Fridays at 00,"Aniplex,       Dentsu,       Fuji TV,       Shueisha",Aniplex of America,LIDENFILMS,Manga,"ActionAction,         DramaDrama",ShounenShounen,22 min. per ep.,R - 17+ (violence & profanity),"8.001 (scored by 71517,151 users)
      


1
          indicates a weighted score.","#6602

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3477,"45,885",210,Rurouni Kenshin Season 2,"HistoricalHistorical,         SamuraiSamurai",,,,,
36,2024,fall,Natsume Yuujinchou Shichi,Natsume's Book of Friends Season 7,https://cdn.myanimelist.net/images/anime/1270/145168.jpg,夏目友人帳 漆,Natsume's Book of Friends Season 7,TV,12,Finished Airing,"Oct 8, 2024 to Dec 24, 2024",Fall 2024,Tuesdays at 00,"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Ai Addiction","None found, add some",Shuka,Manga,"Slice of LifeSlice of Life,         SupernaturalSupernatural",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"8.591 (scored by 1130311,303 users)
      


1
          indicates a weighted score.","#992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3531,"44,815",444,"Natsume Yuujinchou Season 7, Natsume's Book of Friends Seven","IyashikeiIyashikei,         MythologyMythology",,,,,
37,2024,fall,"Maou-sama, Retry! R","Demon Lord, Retry! R",https://cdn.myanimelist.net/images/anime/1667/145393.jpg,魔王様、リトライ! R,"Demon Lord, Retry! R",TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 22,"Toei Video,       KlockWorx,       BS Fuji,       Tokyo MX,       Futabasha,       BS NTV,       SUPA LOVE,       BloomZ,       Bushiroad Move,       Starry Cube,       tamakoshi,       CTW,       FUTURE LEAP ,       RKB Mainichi Broadcasting Corporation,       Yoyogi Animation Gakuin","None found, add some",Gekkou,Web manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"5.911 (scored by 1536815,368 users)
      


1
          indicates a weighted score.","#104172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3645,"42,284",103,,,,IsekaiIsekai,,,
38,2024,fall,MF Ghost 2nd Season,MF Ghost Season 2,https://cdn.myanimelist.net/images/anime/1037/145338.jpg,MFゴースト 2nd Season,MF Ghost Season 2,TV,12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",Fall 2024,Mondays at 00,"Animax,       Kodansha,       Avex Pictures,       Sammy,       Crunchyroll,       Techno Sound","None found, add some",Felix Film,Manga,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.801 (scored by 1582215,822 users)
      


1
          indicates a weighted score.","#10482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3926,"36,389",184,,,,RacingRacing,,,
39,2024,fall,Houkago Shounen Hanako-kun Part 2,After-School Hanako-kun Part 2,https://cdn.myanimelist.net/images/anime/1910/144517.jpg,放課後少年花子くん 続編,After-School Hanako-kun Part 2,TV,4,Finished Airing,"Oct 8, 2024 to Oct 29, 2024",Fall 2024,Tuesdays at 01,"Square Enix,       Pony Canyon,       Half H.P Studio,       Studio Tronc","None found, add some",Lerche,Web manga,"ComedyComedy,         SupernaturalSupernatural",,10 min. per ep.,PG-13 - Teens 13 or older,"7.041 (scored by 87528,752 users)
      


1
          indicates a weighted score.","#42132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3981,"35,272",127,,,,SchoolSchool,,,
40,2024,fall,Youkai Gakkou no Sensei Hajimemashita!,A Terrified Teacher at Ghoul School!,https://cdn.myanimelist.net/images/anime/1800/145662.jpg,妖怪学校の先生はじめました！,A Terrified Teacher at Ghoul School!,TV,24,Currently Airing,"Oct 8, 2024 to ?",Fall 2024,Tuesdays at 23,"Square Enix,       Frontier Works,       Movic,       Tokyo MX,       ABC Animation,       arma bianca,       Mixer,       NetEase,       BS Asahi,       Kappa Entertainment","None found, add some",Satelight,Manga,"ComedyComedy,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.631 (scored by 57385,738 users)
      


1
          indicates a weighted score.","#63262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4178,"31,946",142,"I Started Being a Teacher for a Youkai School!, Yohaji","Gag HumorGag Humor,         MythologyMythology,         SchoolSchool,         WorkplaceWorkplace",,,,,
41,2024,fall,One Piece: Gyojin Tou-hen,One Piece Log: Fish-Man Island Saga,https://cdn.myanimelist.net/images/anime/1928/146063.jpg,SPECIAL EDITED VERSION『ONE PIECE』魚人島編,One Piece Log,TV,21,Currently Airing,"Nov 3, 2024 to ?",Fall 2024,Sundays at 09,"None found, add some","None found, add some",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.241 (scored by 57055,705 users)
      


1
          indicates a weighted score.","#3422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4187,"31,746",142,OP,,,,,,
42,2024,fall,Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,The Seven Deadly Sins: Four Knights of the Apocalypse Season 2,https://cdn.myanimelist.net/images/anime/1109/145389.jpg,七つの大罪 黙示録の四騎士 第2期,The Seven Deadly Sins,TV,12,Finished Airing,"Oct 6, 2024 to Dec 29, 2024",Fall 2024,Sundays at 16,"VAP,       Dentsu,       TMS Entertainment,       TBS,       Kodansha,       Movic,       Sammy,       Marui Group,       Unlimited Produce by TMS","None found, add some",Telecom Animation Film,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.461 (scored by 68746,874 users)
      


1
          indicates a weighted score.","#21042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4204,"31,340",113,,,,,,,
43,2024,fall,Kabushikigaisha Magi-Lumière,Magilumiere Magical Girls Inc.,https://cdn.myanimelist.net/images/anime/1926/145102.jpg,株式会社マジルミエ,Magilumiere Magical Girls Inc.,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 23,"Dentsu,       Nippon Television Network","None found, add some","J.C.Staff,       Studio Moe",Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.971 (scored by 86838,683 users)
      


1
          indicates a weighted score.","#45072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4423,"28,345",58,"Magilumiere Co. Ltd., Kabushikigaisha Magilumiere","Adult CastAdult Cast,         Mahou ShoujoMahou Shoujo,         WorkplaceWorkplace",ActionAction,,,,
44,2024,fall,Ao no Miburo,Blue Miburo,https://cdn.myanimelist.net/images/anime/1079/147334.jpg,青のミブロ,Blue Miburo,TV,24,Currently Airing,"Oct 19, 2024 to ?",Fall 2024,Saturdays at 17,"Dentsu,       Yomiuri Telecasting","None found, add some",Maho Film,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.361 (scored by 31063,106 users)
      


1
          indicates a weighted score.","#79092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4441,"28,075",116,The Blue Wolves of Mibu,"HistoricalHistorical,         SamuraiSamurai",ActionAction,,,,
45,2024,fall,Trillion Game,,https://cdn.myanimelist.net/images/anime/1081/147379.jpg,トリリオンゲーム,TRILLION GAME,TV,26,Currently Airing,"Oct 4, 2024 to ?",Fall 2024,Fridays at 01,"TBS,       AT-X,       Magic Capsule,       Sammy,       Sun TV,       Kadokawa","None found, add some",Madhouse,Manga,,SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older,"7.121 (scored by 40864,086 users)
      


1
          indicates a weighted score.","#37882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4886,"22,490",60,"$1,000,000,000,000 Game",,DramaDrama,Adult CastAdult Cast,,,
46,2024,fall,Acro Trip,,https://cdn.myanimelist.net/images/anime/1397/145153.jpg,アクロトリップ,Acro Trip,TV,12,Finished Airing,"Oct 2, 2024 to Dec 18, 2024",Fall 2024,Wednesdays at 22,"Fuji TV,       KlockWorx,       Tokyopop,       Ai Addiction,       Tokyo MX,       King Records,       Shueisha,       Yomiuri TV Enterprise,       BS NTV,       Happinet Phantom Studios","None found, add some",Voil,Manga,,ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"6.731 (scored by 67946,794 users)
      


1
          indicates a weighted score.","#57322

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5077,"20,569",59,,"Mahou ShoujoMahou Shoujo,         ParodyParody",ComedyComedy,,,,
47,2024,fall,Love Live! Superstar!! 3rd Season,Love Live! Superstar!! Season 3,https://cdn.myanimelist.net/images/anime/1489/144640.jpg,ラブライブ！スーパースター!!,Love Live! Superstar!! Season 3,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 17,"Lantis,       Bandai Namco Filmworks,       Bandai Namco Music Live,       Bushiroad Creative","None found, add some",Sunrise,Other,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.891 (scored by 57685,768 users)
      


1
          indicates a weighted score.","#8512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5318,"18,387",130,,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",Slice of LifeSlice of Life,,,,
48,2024,fall,Touhai: Ura Rate Mahjong Touhairoku,,https://cdn.myanimelist.net/images/anime/1306/145571.jpg,凍牌〜裏レート麻雀闘牌録〜,,TV,25,Currently Airing,"Oct 5, 2024 to ?",Fall 2024,Saturdays at 02,"Pony Canyon,       Studio Mausu","None found, add some",East Fish Studio,Manga,"DramaDrama,         SuspenseSuspense",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"6.241 (scored by 17181,718 users)
      


1
          indicates a weighted score.","#86232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5387,"17,652",62,Frozen Mahjong Tiles,"Organized CrimeOrganized Crime,         PsychologicalPsychological,         Strategy GameStrategy Game",,,,,
49,2024,fall,Mahoutsukai ni Narenakatta Onnanoko no Hanashi,The Stories of Girls Who Couldn't Be Magicians,https://cdn.myanimelist.net/images/anime/1535/145026.jpg,魔法使いになれなかった女の子の話,The Stories of Girls Who Couldn't Be Magicians,TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 01,"Sotsu,       Magic Capsule,       Asmik Ace,       Nippon Cultural Broadcasting,       Kadokawa,       Imagine,       NetEase,       Fosun Entertainment Japan","None found, add some",J.C.Staff,Novel,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.191 (scored by 48364,836 users)
      


1
          indicates a weighted score.","#88852

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5674,"15,355",18,"A Story of a Girl that was Unable to Become a Mage, Mahonare",,FantasyFantasy,SchoolSchool,,,
50,2024,fall,Haigakura,,https://cdn.myanimelist.net/images/anime/1214/142185.jpg,ハイガクラ,,TV,13,Currently Airing,"Oct 7, 2024 to ?",Fall 2024,Mondays at 22,"Frontier Works,       Nippon Columbia,       Glovision,       Yomiuri TV Enterprise,       Ichijinsha,       arma bianca,       GREE Entertainment","None found, add some",Typhoon Graphics,Manga,"AdventureAdventure,         FantasyFantasy",JoseiJosei,23 min. per ep.,PG-13 - Teens 13 or older,"5.591 (scored by 13591,359 users)
      


1
          indicates a weighted score.","#118512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5974,"13,503",37,,,,,,,
51,2024,fall,Puniru wa Kawaii Slime,Puniru is a Kawaii Slime,https://cdn.myanimelist.net/images/anime/1681/145175.jpg,ぷにるはかわいいスライム,Puniru is a Kawaii Slime,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 23,"TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO animation,       Shogakukan","None found, add some",TOHO animation STUDIO,Manga,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.961 (scored by 34553,455 users)
      


1
          indicates a weighted score.","#45792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6634,"10,416",45,,"AnthropomorphicAnthropomorphic,         Gag HumorGag Humor,         SchoolSchool",ComedyComedy,,,,
52,2024,fall,Kinoko Inu,Kinokoinu Mushroom Pup,https://cdn.myanimelist.net/images/anime/1954/144622.jpg,きのこいぬ,Kinokoinu Mushroom Pup,TV,12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",Fall 2024,Thursdays at 21,"AT-X,       Tokuma Shoten,       KlockWorx,       81 Produce,       Universal Music Japan,       BS11,       ABC Animation,       FuRyu","None found, add some",C-Station,Manga,"Slice of LifeSlice of Life,         SupernaturalSupernatural",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"6.901 (scored by 26432,643 users)
      


1
          indicates a weighted score.","#48422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7456,"7,787",22,,"Adult CastAdult Cast,         PetsPets",,,,,
53,2024,fall,Kamierabi 2nd Season,KamiErabi GOD.app Season 2,https://cdn.myanimelist.net/images/anime/1475/145570.jpg,カミエラビ GOD.app,KamiErabi GOD.app Season 2,TV,12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",Fall 2024,Thursdays at 00,"Dentsu,       Fuji TV,       KlockWorx,       Tokyopop,       Slow Curve,       BS Fuji,       Crunchyroll","None found, add some",Unend,Original,"ActionAction,         SuspenseSuspense",,22 min. per ep.,PG-13 - Teens 13 or older,"6.211 (scored by 20162,016 users)
      


1
          indicates a weighted score.","#87942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7579,"7,479",18,,,,High Stakes GameHigh Stakes Game,,,
54,2024,fall,Hamidashi Creative,,https://cdn.myanimelist.net/images/anime/1713/144761.jpg,ハミダシクリエイティブ,,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 01,Frontier Engine,"None found, add some",Hayabusa Film,Visual novel,,,4 min. per ep.,PG-13 - Teens 13 or older,"5.671 (scored by 10591,059 users)
      


1
          indicates a weighted score.","#115252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7801,"6,965",22,,,RomanceRomance,SchoolSchool,,,
55,2024,fall,Shin Tennis no Oujisama: U-17 World Cup Semifinal,The Prince of Tennis II U-17 World Cup Semifinal,https://cdn.myanimelist.net/images/anime/1507/145670.jpg,新テニスの王子様 U-17 WORLD CUP SEMIFINAL,The Prince of Tennis II U-17 World Cup Semifinal,TV,13,Finished Airing,"Oct 3, 2024 to Dec 26, 2024",Fall 2024,Thursdays at 00,"Production I.G,       TV Tokyo,       Nihon Ad Systems,       Marvelous AQL,       Shueisha,       Jinnan Studio,       Bandai Namco Filmworks","None found, add some",M.S.C,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.651 (scored by 15821,582 users)
      


1
          indicates a weighted score.","#62082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7848,"6,867",23,,,SportsSports,SchoolSchool,,,
56,2024,fall,Kankin Kuiki Level X,Lockdown Zone: Lv. X,https://cdn.myanimelist.net/images/anime/1509/144685.jpg,監禁区域レベルX,Lockdown Zone,TV,6,Finished Airing,"Sep 7, 2024 to Oct 12, 2024",Fall 2024,Saturdays at 01,"None found, add some","None found, add some","Imagica Infos,       Imageworks Studio",Web novel,"HorrorHorror,         MysteryMystery",,13 min. per ep.,R - 17+ (violence & profanity),"6.401 (scored by 15231,523 users)
      


1
          indicates a weighted score.","#76922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8039,"6,482",29,Lockdown Zone,,,,,,
57,2024,fall,Murder Mystery of the Dead,,https://cdn.myanimelist.net/images/anime/1582/145611.jpg,マーダーミステリー・オブ・ザ・デッド,,TV,6,Finished Airing,"Nov 14, 2024 to Dec 26, 2024",Fall 2024,Thursdays at 01,"ABC Animation,       Balus","None found, add some","None found, add some",Game,"MysteryMystery,         SupernaturalSupernatural,         SuspenseSuspense",,23 min. per ep.,R - 17+ (violence & profanity),"5.811 (scored by 140140 users)
      


1
          indicates a weighted score.","#108862

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8755,"5,264",21,,,,,,,
58,2024,fall,Ooi! Tonbo 2nd Season,Tonbo! Season 2,https://cdn.myanimelist.net/images/anime/1115/145549.jpg,オーイ！とんぼ 第2期,Tonbo! Season 2,TV,13,Finished Airing,"Oct 5, 2024 to Jan 4, 2025",Fall 2024,Saturdays at 10,"TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO,       Shogakukan Music & Digital Entertainment,       Shogakukan,       BS TV Tokyo,       Happinet Phantom Studios,       Golf Digest Sha","None found, add some",OLM,Manga,"DramaDrama,         SportsSports",,24 min. per ep.,PG-13 - Teens 13 or older,"7.311 (scored by 22442,244 users)
      


1
          indicates a weighted score.","#27692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8831,"5,148",15,"Hey! Tonbo, Oi! Tonbo",,,,,,
59,2024,fall,The iDOLM@STER Shiny Colors 2nd Season,The iDOLM@STER Shiny Colors Season 2,https://cdn.myanimelist.net/images/anime/1978/145055.jpg,アイドルマスター シャイニーカラーズ 2nd season,The iDOLM@STER Shiny Colors Season 2,TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 01,"Lantis,       Bandai Namco Entertainment","None found, add some",Polygon Pictures,Game,,,24 min. per ep.,PG-13 - Teens 13 or older,"6.321 (scored by 11741,174 users)
      


1
          indicates a weighted score.","#81732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#9205,"4,558",20,,"Idols (Female)Idols (Female),         MusicMusic",Slice of LifeSlice of Life,,,,
60,2024,fall,Tono to Inu,,https://cdn.myanimelist.net/images/anime/1614/147192.jpg,殿と犬,,TV,24,Currently Airing,"Oct 10, 2024 to ?",Fall 2024,Thursdays at 21,"Pony Canyon,       Tokyo MX","None found, add some","OLM,       Live2D Creative Studio",Web manga,,,2 min. per ep.,G - All Ages,"6.521 (scored by 164164 users)
      


1
          indicates a weighted score.","#69292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#9238,"4,508",22,,"HistoricalHistorical,         PetsPets,         SamuraiSamurai",Slice of LifeSlice of Life,,,,
61,2024,fall,Neko ni Tensei shita Ojisan,,https://cdn.myanimelist.net/images/anime/1659/144170.jpg,ねこに転生したおじさん,,TV,Unknown,Currently Airing,"Oct 7, 2024 to ?",Fall 2024,Mondays at 13,"None found, add some","None found, add some",Studio Eight Color,Web manga,,,1 min.,G - All Ages,"6.181 (scored by 297297 users)
      


1
          indicates a weighted score.","#89612

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11336,"2,361",14,"The Old Man Who Was Reincarnated as a Cat, Neko Oji","PetsPets,         ReincarnationReincarnation",ComedyComedy,,,,
62,2024,fall,Hyakushou Kizoku 2nd Season,,https://cdn.myanimelist.net/images/anime/1107/145108.jpg,百姓貴族 2nd Season,,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 21,"None found, add some","None found, add some",Pie in the sky,Manga,,ShoujoShoujo,4 min. per ep.,PG-13 - Teens 13 or older,"6.751 (scored by 704704 users)
      


1
          indicates a weighted score.","#56102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11711,"2,118",7,Noble Farmer Season 2,,ComedyComedy,,,,
63,2024,fall,Kagaku x Bouken Survival!,,https://cdn.myanimelist.net/images/anime/1836/145604.jpg,科学×冒険サバイバル！,,TV,21,Currently Airing,"Oct 5, 2024 to ?",Fall 2024,Saturdays at 18,"Toei Animation,       NHK","None found, add some",Gallop,Manga,"ActionAction,         ComedyComedy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#166872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13309,"1,287",6,,,,EducationalEducational,,,
64,2024,fall,1 Cho,1 Second,https://cdn.myanimelist.net/images/anime/1599/139552.jpg,1초,1 Second,TV,13,Currently Airing,"Nov 24, 2024 to ?",Fall 2024,Unknown,"None found, add some","None found, add some",Durufix,Web manga,"ActionAction,         SupernaturalSupernatural",,11 min. per ep.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#190572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13868,"1,101",5,,,,,,,
65,2024,fall,Asatir 2: Mirai no Mukashi Banashi,Future Folktales 2,https://cdn.myanimelist.net/images/anime/1717/144671.jpg,アサティール2 未来の昔ばなし,Future Folktales 2,TV,13,Finished Airing,"Nov 3, 2024 to Feb 2, 2025",Fall 2024,Sundays at 07,"None found, add some",Sentai Filmworks,"Toei Animation,       Manga Productions",Original,,,25 min. per ep.,PG - Children,"6.481 (scored by 131131 users)
      


1
          indicates a weighted score.","#71822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14355,969,3,,,AdventureAdventure,,,,
66,2024,fall,Okaimono Panda!,,https://cdn.myanimelist.net/images/anime/1171/145891.jpg,お買いものパンダ！,,TV,Unknown,Currently Airing,"Nov 6, 2024 to ?",Fall 2024,Wednesdays at 21,"None found, add some","None found, add some",Shin-Ei Animation,Other,,,3 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#183262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#16981,505,2,,,,AnthropomorphicAnthropomorphic,,,
67,2024,fall,Maarui Kanojo to Zannen na Kareshi 2nd Season,,https://cdn.myanimelist.net/images/anime/1050/146614.jpg,まぁるい彼女と残念な彼氏 第2期,,TV,6,Finished Airing,"Nov 16, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 02,"None found, add some","None found, add some",Imageworks Studio,Web manga,"ComedyComedy,         RomanceRomance",,11 min. per ep.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#174302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#18429,385,0,,,,Adult CastAdult Cast,,,
68,2024,fall,Shibuya♡Hachi Part 2,,https://cdn.myanimelist.net/images/anime/1515/144659.jpg,SHIBUYA♡HACHI 第2クール,,TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 07,PansonWorks,"None found, add some",Nippon Animation,Other,,,2 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#18540,377,1,,,ComedyComedy,,,,
69,2024,fall,Shooting Star Catch! Tiniping,,https://cdn.myanimelist.net/images/anime/1583/145688.jpg,슈팅스타 캐치! 티니핑,,TV,26,Currently Airing,"Oct 10, 2024 to ?",Fall 2024,Thursdays at 18,"None found, add some","None found, add some",SAMG Entertainment,Original,,,11 min. per ep.,PG - Children,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#142772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#19322,321,1,Star Catch! Teenieping,,FantasyFantasy,Mahou ShoujoMahou Shoujo,,,
70,2024,fall,Wish Cat,,https://cdn.myanimelist.net/images/anime/1850/145583.jpg,위시캣,Wish Cat,TV,26,Currently Airing,"Sep 12, 2024 to ?",Fall 2024,Thursdays at 17,"None found, add some","None found, add some",SAMG Entertainment,Original,,,11 min. per ep.,PG - Children,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#152712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#19577,307,0,,,FantasyFantasy,Mahou ShoujoMahou Shoujo,,,
71,2024,fall,Pochars,,https://cdn.myanimelist.net/images/anime/1155/145243.jpg,ぽちゃーズ,,TV,Unknown,Currently Airing,"Oct 9, 2024 to ?",Fall 2024,Wednesdays at 01,Fuji TV,"None found, add some",DLE,Original,,,1 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#185842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#19598,306,0,Pochaazu,,ComedyComedy,,,,
72,2024,fall,Hero Inside 2,,https://cdn.myanimelist.net/images/anime/1138/147842.jpg,히어로 인사이드2,,TV,9,Finished Airing,"Sep 22, 2024 to Nov 17, 2024",Fall 2024,Unknown,"None found, add some","None found, add some","None found, add some",Original,"ActionAction,         AdventureAdventure",,13 min. per ep.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#211642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#25916,80,0,,,,Super PowerSuper Power,,,
73,2024,fall,One Piece,,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,ONE PIECE,One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.731 (scored by 14168311,416,831 users)
      


1
          indicates a weighted score.","#502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#17,"2,492,012","234,243",OP,,,,,,
