,Unnamed: 0,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme
186,16,2021,summer,Megami-ryou no Ryoubo-kun.,Mother of the Goddess' Dormitory,https://cdn.myanimelist.net/images/anime/1436/116410.jpg,,女神寮の寮母くん。,Mother of the Goddess' Dormitory,,,,TV,10,Finished Airing,"Jul 14, 2021 to Sep 15, 2021",Summer 2021,Wednesdays at 23,"AT-X,       Kadokawa Media House,       Kadokawa",Sentai Filmworks,asread.,Manga,"ComedyComedy,         RomanceRomance,         EcchiEcchi",,ShounenShounen,24 min. per ep.,R+ - Mild Nudity,"6.501 (scored by 8458784,587 users)
      


1
          indicates a weighted score.","#70532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1217,"211,747","1,285",,HaremHarem
187,17,2021,summer,Heion Sedai no Idaten-tachi,The Idaten Deities Know Only Peace,https://cdn.myanimelist.net/images/anime/1293/115173.jpg,Idaten Deities in the Peaceful Generation,平穏世代の韋駄天達,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,TV,11,Finished Airing,"Jul 23, 2021 to Sep 28, 2021",Summer 2021,Fridays at 00,"Aniplex,       Dentsu,       Hakusensha,       Fuji TV,       GREE Entertainment","None found, add some",MAPPA,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,SeinenSeinen,22 min. per ep.,R - 17+ (violence & profanity),"7.611 (scored by 8040080,400 users)
      


1
          indicates a weighted score.","#15532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1278,"199,939","1,630",,MythologyMythology
188,18,2021,summer,Peach Boy Riverside,,https://cdn.myanimelist.net/images/anime/1535/115023.jpg,,ピーチボーイリバーサイド,Peach Boy Riverside,,,,TV,12,Finished Airing,"Jul 1, 2021 to Sep 16, 2021",Summer 2021,Thursdays at 22,"VAP,       Sotsu,       Kodansha,       KlockWorx,       Tokyo MX,       Toy's Factory,       Exa International,       BS NTV,       AQUA ARIS,       Bit grooove promotion,       GREE Entertainment,       A3,       jeux d'eau,       Toei Advertising","None found, add some",Asahi Production,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"6.241 (scored by 7298672,986 users)
      


1
          indicates a weighted score.","#86412

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1330,"192,019",681,,GoreGore
189,19,2021,summer,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2,https://cdn.myanimelist.net/images/anime/1424/117718.jpg,"I'm standing on 1,000,000 lives. Season 2",100万の命の上に俺は立っている,I’m Standing on a Million Lives Season 2,I'm Standing On A Million Lives Staffel 2,I'm Standing On A Million Lives Temporada 2,I'm Standing On A Million Lives Saison 2,TV,12,Finished Airing,"Jul 10, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 00,Warner Bros. Japan,"None found, add some",Maho Film,Manga,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.791 (scored by 8253682,536 users)
      


1
          indicates a weighted score.","#53982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1431,"176,078",636,,IsekaiIsekai
190,20,2021,summer,Shiroi Suna no Aquatope,The Aquatope on White Sand,https://cdn.myanimelist.net/images/anime/1932/114952.jpg,Aquatope of White Sand,白い砂のアクアトープ,The Aquatope on White Sand,The Aquatope On The White Sand,The Aquatope on White Sand,The Aquatope On White Sand,TV,24,Finished Airing,"Jul 9, 2021 to Dec 17, 2021",Summer 2021,Fridays at 00,"BS Fuji,       Tokyo MX,       Infinite,       Forecast Communications,       Kadokawa Media House,       DMM pictures,       Bandai Namco Arts,       AQUA ARIS","None found, add some",P.A. Works,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.511 (scored by 5331953,319 users)
      


1
          indicates a weighted score.","#19032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1435,"175,827","1,409",DramaDrama,WorkplaceWorkplace
191,21,2021,summer,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,https://cdn.myanimelist.net/images/anime/1787/115817.jpg,Cheat Pharmacist's Slow Life,チート薬師のスローライフ～異世界に作ろうドラッグストア～,Drug Store in Another World,Drug Store in Another World,Drug Store in Another World,Drug Store in Another World,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",Summer 2021,Wednesdays at 22,"Studio Mausu,       BS11,       Crunchyroll,       Yomiuri TV Enterprise,       NichiNare,       Live Viewing Japan,       Bandai Namco Arts,       Video Market,       MediaNet Pictures,       Tohjak,       Hifumi Shobo","None found, add some",EMT Squared,Light novel,"ComedyComedy,         FantasyFantasy","IsekaiIsekai,         MedicalMedical",,23 min. per ep.,PG-13 - Teens 13 or older,"6.451 (scored by 6030760,307 users)
      


1
          indicates a weighted score.","#73712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1600,"155,721",623,,
192,22,2021,summer,Re-Main,,https://cdn.myanimelist.net/images/anime/1838/114857.jpg,,RE-MAIN（リメイン）,Re-Main,,,,TV,12,Finished Airing,"Jul 4, 2021 to Oct 3, 2021",Summer 2021,Sundays at 01,Bandai Namco Arts,Funimation,MAPPA,Original,,"SchoolSchool,         Team SportsTeam Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"7.191 (scored by 5376153,761 users)
      


1
          indicates a weighted score.","#34112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1709,"142,296",873,SportsSports,
193,23,2021,summer,Mahouka Koukou no Yuutousei,The Honor Student at Magic High School,https://cdn.myanimelist.net/images/anime/1719/116262.jpg,,魔法科高校の優等生,The Honor Student at Magic High School,,,,TV,13,Finished Airing,"Jul 3, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 23,Aniplex,Aniplex of America,Connect,Manga,"FantasyFantasy,         Sci-FiSci-Fi","SchoolSchool,         Urban FantasyUrban Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.681 (scored by 4463544,635 users)
      


1
          indicates a weighted score.","#60102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1731,"139,797",734,,
194,24,2021,summer,Higurashi no Naku Koro ni Sotsu,Higurashi: When They Cry – SOTSU,https://cdn.myanimelist.net/images/anime/1083/115046.jpg,"When the Cicadas Cry, The Moment the Cicadas Cry",ひぐらしのなく頃に卒,Higurashi,,,,TV,15,Finished Airing,"Jul 1, 2021 to Sep 30, 2021",Summer 2021,Thursdays at 23,"None found, add some",Funimation,Passione,Visual novel,"HorrorHorror,         MysteryMystery,         SuspenseSuspense","GoreGore,         PsychologicalPsychological",,23 min. per ep.,R - 17+ (violence & profanity),"6.731 (scored by 4876448,764 users)
      


1
          indicates a weighted score.","#57522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1958,"118,917",787,,
195,25,2021,summer,Scarlet Nexus,,https://cdn.myanimelist.net/images/anime/1314/116004.jpg,,SCARLET NEXUS,Scarlet Nexus,,,,TV,26,Finished Airing,"Jul 1, 2021 to Dec 23, 2021",Summer 2021,Thursdays at 22,"Sunrise Music,       Bandai Namco Arts",Funimation,Sunrise,Game,"ActionAction,         Sci-FiSci-Fi","MilitaryMilitary,         Super PowerSuper Power",,24 min. per ep.,PG-13 - Teens 13 or older,"5.711 (scored by 2763427,634 users)
      


1
          indicates a weighted score.","#113012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2199,"101,733",501,,
196,26,2021,summer,Kageki Shoujo!!,Kageki Shojo!!,https://cdn.myanimelist.net/images/anime/1944/114427.jpg,"The Curtain Rises, Opera Girl!",かげきしょうじょ!!,Kageki Shojo!!,,,,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 00,"Hakusensha,       King Records",Funimation,PINE JAM,Manga,,"Performing ArtsPerforming Arts,         SchoolSchool",ShoujoShoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7.721 (scored by 2803028,030 users)
      


1
          indicates a weighted score.","#12372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2396,"88,045",511,DramaDrama,
197,27,2021,summer,Love Live! Superstar!!,,https://cdn.myanimelist.net/images/anime/1758/115692.jpg,,ラブライブ！スーパースター!!,Love Live! SuperStar!!,,,,TV,12,Finished Airing,"Jul 11, 2021 to Oct 17, 2021",Summer 2021,Sundays at 19,"Kadokawa,       Bandai Namco Arts",Funimation,Sunrise,Other,,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.921 (scored by 2865928,659 users)
      


1
          indicates a weighted score.","#7892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2673,"73,961","1,123",Slice of LifeSlice of Life,
198,28,2021,summer,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,Magia Record: Puella Magi Madoka Magica Side Story Season 2 - The Eve of Awakening,https://cdn.myanimelist.net/images/anime/1919/116424.jpg,,マギアレコード 魔法少女まどか☆マギカ外伝 2nd SEASON -覚醒前夜-,Magia Record,Magia Record,Magia Record,Magia Record,TV,8,Finished Airing,"Aug 1, 2021 to Sep 26, 2021",Summer 2021,Sundays at 00,"Aniplex,       Houbunsha,       f4samurai",Aniplex of America,Shaft,Game,"DramaDrama,         SuspenseSuspense","Mahou ShoujoMahou Shoujo,         PsychologicalPsychological",,23 min. per ep.,PG-13 - Teens 13 or older,"7.001 (scored by 2136221,362 users)
      


1
          indicates a weighted score.","#43922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2785,"69,348",448,,
199,29,2021,summer,Night Head 2041,,https://cdn.myanimelist.net/images/anime/1819/116662.jpg,,NIGHT HEAD 2041,Night Head 2041,,,,TV,12,Finished Airing,"Jul 15, 2021 to Sep 30, 2021",Summer 2021,Thursdays at 00,"Fuji TV,       Slow Curve,       BS Fuji,       Hakuhodo DY Media Partners,       Office ENDLESS","None found, add some",Shirogumi,Other,"DramaDrama,         MysteryMystery,         Sci-FiSci-Fi,         SuspenseSuspense","PsychologicalPsychological,         Super PowerSuper Power",,22 min. per ep.,R - 17+ (violence & profanity),"6.501 (scored by 1047910,479 users)
      


1
          indicates a weighted score.","#70572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3453,"46,512",313,,
200,30,2021,summer,D_Cide Traumerei the Animation,,https://cdn.myanimelist.net/images/anime/1635/117200.jpg,"DCTM, Toromera",D_CIDE TRAUMEREI（ディーサイドトロイメライ）,D_Cide Traumerei the Animation,,,,TV,13,Finished Airing,"Jul 10, 2021 to Oct 2, 2021",Summer 2021,Saturdays at 22,"Bushiroad,       Bit grooove promotion","None found, add some",SANZIGEN,Mixed media,"ActionAction,         DramaDrama,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"5.811 (scored by 66856,685 users)
      


1
          indicates a weighted score.","#108972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4637,"25,511",107,,
201,31,2021,summer,IDOLiSH7 Third Beat!,,https://cdn.myanimelist.net/images/anime/1646/115723.jpg,"IDOLiSH7 3rd Season, Idolish Seven 3rd Season",アイドリッシュセブン Third BEAT!,IDOLISH7 Third BEAT!,,IDOLiSH7,,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 22,Lantis,"None found, add some",TROYCA,Game,,"Idols (Male)Idols (Male),         MusicMusic",,24 min. per ep.,PG-13 - Teens 13 or older,"8.231 (scored by 83508,350 users)
      


1
          indicates a weighted score.","#3652

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4708,"24,625",391,DramaDrama,
202,32,2021,summer,"Ore, Tsushima","I, Tsushima",https://cdn.myanimelist.net/images/anime/1916/112514.jpg,I am Tsushima,俺、つしま,"I, Tsushima",,,,TV,12,Finished Airing,"Jul 2, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 01,Asmik Ace,"None found, add some","Fanworks,       Space Neko Company",Manga,"ComedyComedy,         Slice of LifeSlice of Life",,SeinenSeinen,1 min. per ep.,PG-13 - Teens 13 or older,"6.941 (scored by 83778,377 users)
      


1
          indicates a weighted score.","#46372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5151,"19,772",172,,PetsPets
203,33,2021,summer,Yami Shibai 9,Theatre of Darkness: Yamishibai 9,https://cdn.myanimelist.net/images/anime/1880/115566.jpg,Yamishibai,闇芝居 九期,Theatre of Darkness,,,,TV,13,Finished Airing,"Jul 12, 2021 to Oct 4, 2021",Summer 2021,Unknown,"None found, add some","None found, add some","ILCA,       DRAWIZ,       yell",Original,"Avant GardeAvant Garde,         HorrorHorror,         SupernaturalSupernatural",,,4 min. per ep.,PG-13 - Teens 13 or older,"5.911 (scored by 52665,266 users)
      


1
          indicates a weighted score.","#104102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6012,"13,302",40,,
204,34,2021,summer,Tsukipro The Animation 2,,https://cdn.myanimelist.net/images/anime/1651/116291.jpg,,TSUKIPRO THE ANIMATION 2,,,,,TV,13,Finished Airing,"Jul 7, 2021 to Dec 29, 2021",Summer 2021,Wednesdays at 22,AZ Creative,Sentai Filmworks,PRA,Mixed media,,"Idols (Male)Idols (Male),         MusicMusic",,23 min. per ep.,PG-13 - Teens 13 or older,"6.401 (scored by 13381,338 users)
      


1
          indicates a weighted score.","#76822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7390,"7,965",49,,
205,35,2021,summer,Getter Robo Arc,,https://cdn.myanimelist.net/images/anime/1805/116661.jpg,"Getter Robo Āḥ, Getter Robo Ah, Getter Robo Ark",ゲッターロボ アーク,,,,,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 21,"Lantis,       Bandai Namco Arts",Sentai Filmworks,"Bee Media,       Studio A-CAT",Manga,"ActionAction,         Sci-FiSci-Fi",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.191 (scored by 23722,372 users)
      


1
          indicates a weighted score.","#89062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8090,"6,380",26,,MechaMecha
206,36,2021,summer,Pretty All Friends Selection,,https://cdn.myanimelist.net/images/anime/1968/114657.jpg,,プリティーオールフレンズセレクション,,,,,TV,16,Finished Airing,"Jun 6, 2021 to Sep 19, 2021",Summer 2021,Unknown,"None found, add some","None found, add some","None found, add some",Game,"ComedyComedy,         Slice of LifeSlice of Life","Idols (Female)Idols (Female),         MusicMusic",,24 min. per ep.,PG - Children,"6.761 (scored by 218218 users)
      


1
          indicates a weighted score.","#55572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11620,"2,176",18,,
207,37,2021,summer,One Piece,,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,OP,ONE PIECE,One Piece,,,,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.731 (scored by 14167901,416,790 users)
      


1
          indicates a weighted score.","#502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#17,"2,491,944","234,235",,
208,38,2021,summer,Tokyo Revengers,,https://cdn.myanimelist.net/images/anime/1839/122012.jpg,,東京リベンジャーズ,Tokyo Revengers,,,,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,Sundays at 02,"Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       AT-X,       Ultra Super Pictures,       Studio Mausu,       Sammy",VIZ Media,LIDENFILMS,Manga,"ActionAction,         DramaDrama","DelinquentsDelinquents,         Time TravelTime Travel",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.871 (scored by 731284731,284 users)
      


1
          indicates a weighted score.","#8772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#105,"1,323,564","25,255",,
209,39,2021,summer,Boku no Hero Academia 5th Season,My Hero Academia Season 5,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,My Hero Academia 5,僕のヒーローアカデミア,My Hero Academia Season 5,My Hero Academia Staffel 5,My Hero Academia Temporada 5,My Hero Academia Saison 5,TV,25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",Spring 2021,Saturdays at 17,"Dentsu,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Funimation,Bones,Manga,,"SchoolSchool,         Super PowerSuper Power",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.361 (scored by 647705647,705 users)
      


1
          indicates a weighted score.","#25432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#115,"1,259,149","10,226",ActionAction,
210,40,2021,summer,Fumetsu no Anata e,To Your Eternity,https://cdn.myanimelist.net/images/anime/1880/118484.jpg,"To You, the Immortal",不滅のあなたへ,To Your Eternity,To Your Eternity,To Your Eternity,To Your Eternity,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",Spring 2021,Mondays at 22,"NHK,       Kodansha,       NHK Enterprises",VIZ Media,Brain's Base,Manga,"AdventureAdventure,         DramaDrama,         SupernaturalSupernatural",,ShounenShounen,25 min. per ep.,R - 17+ (violence & profanity),"8.341 (scored by 390320390,320 users)
      


1
          indicates a weighted score.","#2442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#199,"922,273","15,100",,
211,41,2021,summer,Boruto: Naruto Next Generations,,https://cdn.myanimelist.net/images/anime/1091/99847.jpg,,BORUTO -NARUTO NEXT GENERATIONS-,Boruto,,,,TV,293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",Spring 2017,Sundays at 17,"TV Tokyo,       Aniplex,       Rakuonsha,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.001 (scored by 456508456,508 users)
      


1
          indicates a weighted score.","#99122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#208,"894,492","7,375",,Martial ArtsMartial Arts
212,42,2021,summer,Meitantei Conan,Case Closed,https://cdn.myanimelist.net/images/anime/7/75199.jpg,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18,"Yomiuri Telecasting,       Shogakukan,       Audio Planning U,       Tokyo Movie,       Polydor Records","Funimation,       Crunchyroll",TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         MysteryMystery",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.171 (scored by 164197164,197 users)
      


1
          indicates a weighted score.","#4352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#703,"360,470","15,311",,DetectiveDetective
213,43,2021,summer,Mairimashita! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Season 2,https://cdn.myanimelist.net/images/anime/1527/113656.jpg,Welcome to Demon School! Iruma-kun 2nd Season,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 2,Welcome to Demon School! Iruma-kun Staffel 2,Welcome to Demon School! Iruma-kun Temporada 2,Welcome to Demon School! Iruma-kun Saison 2,TV,21,Finished Airing,"Apr 17, 2021 to Sep 11, 2021",Spring 2021,Saturdays at 17,"NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"ComedyComedy,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.031 (scored by 171851171,851 users)
      


1
          indicates a weighted score.","#6212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#735,"345,236","2,431",,SchoolSchool
214,44,2021,summer,Shaman King (2021),,https://cdn.myanimelist.net/images/anime/1416/113270.jpg,,SHAMAN KING,,Shaman King,Shaman King,Shaman King,TV,52,Finished Airing,"Apr 1, 2021 to Apr 21, 2022",Spring 2021,Thursdays at 17,TV Tokyo,"None found, add some",Bridge,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.901 (scored by 7711877,118 users)
      


1
          indicates a weighted score.","#48272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#946,"271,882","1,735",,
215,45,2021,summer,Edens Zero,,https://cdn.myanimelist.net/images/anime/1011/111811.jpg,,EDENS ZERO,Edens Zero,,,,TV,25,Finished Airing,"Apr 11, 2021 to Oct 3, 2021",Spring 2021,Sundays at 00,"Kodansha,       Magic Capsule,       Nippon Television Music","None found, add some",J.C.Staff,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.261 (scored by 101148101,148 users)
      


1
          indicates a weighted score.","#30292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#953,"270,775","1,961",,SpaceSpace
216,46,2021,summer,Kingdom 3rd Season,Kingdom: Season 3,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,,キングダム 第3シリーズ,Kingdom,,,,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00,Shueisha,Funimation,"Pierrot,       Studio Signpost",Manga,,"HistoricalHistorical,         MilitaryMilitary",SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity),"8.831 (scored by 4576645,766 users)
      


1
          indicates a weighted score.","#302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2033,"113,997","2,347",ActionAction,
217,47,2021,summer,Crayon Shin-chan,Shin Chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg,,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,Fridays at 19,TV Asahi,Funimation,Shin-Ei Animation,Manga,"ComedyComedy,         EcchiEcchi",,SeinenSeinen,21 min.,G - All Ages,"7.801 (scored by 4214242,142 users)
      


1
          indicates a weighted score.","#10282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2398,"87,938","1,329",,SchoolSchool
218,48,2021,summer,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,https://cdn.myanimelist.net/images/anime/1499/109126.jpg,Dragon Quest,ドラゴンクエスト ダイの大冒険,Dragon Quest,Dragon Quest,Dragon Quest,Dragon Quest,TV,100,Finished Airing,"Oct 3, 2020 to Oct 22, 2022",Fall 2020,Saturdays at 09,"TV Tokyo,       Square Enix,       Shueisha","None found, add some",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.731 (scored by 2596225,962 users)
      


1
          indicates a weighted score.","#12182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2613,"76,566",644,,
219,49,2021,summer,Blue Reflection Ray,,https://cdn.myanimelist.net/images/anime/1634/114551.jpg,,BLUE REFLECTION RAY/澪,Blue Reflection Ray,,,,TV,24,Finished Airing,"Apr 10, 2021 to Sep 25, 2021",Spring 2021,Saturdays at 01,"Mainichi Broadcasting System,       Magic Capsule,       DMM pictures",Funimation,J.C.Staff,Game,,"Mahou ShoujoMahou Shoujo,         SchoolSchool",,24 min. per ep.,PG-13 - Teens 13 or older,"5.861 (scored by 71507,150 users)
      


1
          indicates a weighted score.","#106432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4198,"31,502",106,FantasyFantasy,
220,50,2021,summer,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,https://cdn.myanimelist.net/images/anime/1355/111545.jpg,The caterer at the Maiko Manor,舞妓さんちのまかないさん,Kiyo in Kyoto,Kiyo in Kyoto,Kiyo in Kyoto,Kiyo in Kyoto,TV,12,Finished Airing,"Feb 25, 2021 to Jan 27, 2022",Winter 2021,Thursdays at 08,"NHK,       NHK Enterprises","None found, add some",J.C.Staff,Manga,"GourmetGourmet,         Slice of LifeSlice of Life","EducationalEducational,         IyashikeiIyashikei,         WorkplaceWorkplace",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 47014,701 users)
      


1
          indicates a weighted score.","#42532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5166,"19,674",68,,
221,51,2021,summer,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,https://cdn.myanimelist.net/images/anime/1148/106883.jpg,Yuu Gi Ou!,遊☆戯☆王 SEVENS,Yu-Gi-Oh! Sevens,,,,TV,92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022",Spring 2020,Saturdays at 07,"TV Tokyo,       Konami,       Shueisha,       Konami Cross Media NY","None found, add some",Bridge,Card game,"ActionAction,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.201 (scored by 49084,908 users)
      


1
          indicates a weighted score.","#88642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5260,"18,794",88,,Strategy GameStrategy Game
222,52,2021,summer,Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,,トロピカル～ジュ！プリキュア,Tropical-Rouge! Pretty Cure,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TV,46,Finished Airing,"Feb 28, 2021 to Jan 30, 2022",Winter 2021,Sundays at 08,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,,,,24 min. per ep.,G - All Ages,"7.391 (scored by 45434,543 users)
      


1
          indicates a weighted score.","#23982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5864,"14,126",147,ActionAction,Mahou ShoujoMahou Shoujo
223,53,2021,summer,Sazae-san,Mrs. Sazae,https://cdn.myanimelist.net/images/anime/1008/98996.jpg,,サザエさん,Mrs. Sazae,,,,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Sundays at 18,Fuji TV,"None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,,24 min.,G - All Ages,"6.141 (scored by 19341,934 users)
      


1
          indicates a weighted score.","#91842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7123,"8,791",39,,
